id,name,price,original_price,discount_rate,quantity_sold,rating_average,category,platform,seller,url,da_kiem_tra_gia_ao
KAG_198868735,Điện thoại IP Grandstream GRP 2601 hàng chính hãng,880000.0,880000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ip-grandstream-grp-2601-hang-chinh-hang-p198868735.html?spid=262386115,True
KAG_181928208,Điện thoại bàn Panasonic KX-TGC310 hàng chính hãng,972000.0,972000.0,0.0,57,5.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgc310-hang-chinh-hang-p181928208.html?spid=181928209,True
KAG_181927736,Điện thoại bàn Panasonix KX-TGD312 hàng chính hãng,1850000.0,1850000.0,0.0,28,5.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ban-panasonix-kx-tgd312-hang-chinh-hang-p181927736.html?spid=181927737,True
KAG_172537996,"(Hàng chính hãng) Điện thoại bàn hữu tuyến H2P, hiệu Alcatel - Lucent",2220000.0,2220000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ban-huu-tuyen-h2p-hieu-alcatel-lucent-p172537996.html?spid=172537997,True
KAG_164213695,Điện thoại bàn Panasonic KX-TGB110 hàng chính hãng,850000.0,850000.0,0.0,75,5.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgb110-p164213695.html?spid=164213696,True
KAG_117347869,ĐIỆN THOẠI HỘI NGHỊ YEALINK CP960 -HÀNG CHÍNH HÃNG,15230000.0,15230000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-hoi-nghi-yealink-cp960-p117347869.html?spid=125595231,True
KAG_102620086,Điện thoại VoIP Yealink SIP-T30 - Hàng Chính Hãng,1200000.0,1200000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-hang-chinh-hang-p102620086.html?spid=102620089,True
KAG_94453667,Điện thoại VoIP Yealink SIP-T30,1050000.0,1050000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-p94453667.html?spid=94453668,True
KAG_53380152,Điện Thoại IP Phone Fanvil X1S - Hàng Chính Hãng,950000.0,950000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ip-phone-fanvil-x1s-hang-chinh-hang-p53380152.html?spid=68169992,True
KAG_29440849,điện thoại  IP622C - hàng chính hãng,1650000.0,1650000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ip622c-hang-chinh-hang-p29440849.html?spid=29440850,True
KAG_4048043,Điện Thoại Bàn Panasonic KX-TS500,369000.0,369000.0,0.0,320,4.5,Điện thoại - Máy tính bảng,Kaggle,Tiki,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts500-hang-chinh-hang-p4048043.html?spid=26682357,False
KAG_279379520,"Áo ba lỗ sát nách nam cao cấp vải Coolmax nhẹ, co giãn tốt, thoáng mát SNN015",189000.0,235000.0,0.2,2,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-ba-lo-sat-nach-nam-cao-cap-vai-coolmax-nhe-co-gian-tot-thoang-mat-snn015-p279379520.html?spid=279379548,False
KAG_279321285,"[Chọn LẺ hoặc SET] Quần Lót Nam LT1 Liền Mạch D Danido – Modal Sợi Gỗ Sồi Cao Cấp, Hai Mặt Kháng Khuẩn, Thoáng Khí Cực MátQuần Lót Nam LT1",85000.0,150000.0,0.43,6,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/chon-le-hoac-set-quan-lot-nam-lt1-lien-mach-d-danido-modal-soi-go-soi-cao-cap-hai-mat-khang-khuan-thoang-khi-cuc-matquan-lot-nam-lt1-p279321285.html?spid=279321311,False
KAG_279023305,"Quần suông nam form rộng có túi trước sau phối cạp chun basic dễ mặc, dễ phối đồ",350000.0,350000.0,0.0,4,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-suong-nam-form-rong-co-tui-truoc-sau-phoi-cap-chun-basic-de-mac-de-phoi-do-p279023305.html?spid=279023309,False
KAG_278049759,Áo sơ mi nam ngắn tay Novelty Casual Hoa văn SMI25001 - 250078N,395000.0,395000.0,0.0,0,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-so-mi-nam-ngan-tay-novelty-casual-hoa-van-smi25001-p278049759.html?spid=278049903,False
